"","SACTN","SAWS_1","overlap_1","SAWS_2","overlap_2"
"1","Port Nolloth_SAWS","PORT NOLLOTH",15407,"VIOOLSDRIF",8228
"2","Sea Point_SAWS","MOLTENO RESERVOIR",5108,"CAPE TOWN SLANGKOP",6895
"3","Hout Bay_DEA","CAPE TOWN WO",6238,"KIRSTENBOSCH",6238
"4","Kommetjie_SAWS","CAPE TOWN WO",8433,"KIRSTENBOSCH",8432
"5","Fish Hoek_SAWS","CAPE TOWN WO",8433,"KIRSTENBOSCH",8432
"6","Muizenberg_SAWS","KIRSTENBOSCH",15307,"CAPE TOWN WO",15308
"7","Gordons Bay_SAWS","STRAND",6871,"GRABOUW",0
"8","Hermanus_SAWS","HERMANUS",8016,"GRABOUW",0
"9","Ystervarkpunt_DEA","MOSSEL BAY",0,"RIVERSDAL",4295
"10","Mossel Bay_DEA","MOSSEL BAY",0,"GEORGE AWS",0
"11","Knysna_DEA","KNYSNA",4872,"PLETTENBERGBAAI",5338
"12","Tsitsikamma_DEA","TSITSIKAMMA",6094,"JOUBERTINA AWS",4603
"13","Tsitsikamma_SAWS","TSITSIKAMMA",5096,"JOUBERTINA AWS",3608
"14","Storms River Mouth_SAWS","TSITSIKAMMA",5751,"JOUBERTINA AWS",4290
"15","Pollock Beach_SAWS","PORT ELIZABETH - SHARK ROCK PIER",329,"PORT ELIZABETH AWS",2001
"16","Humewood_SAWS","PORT ELIZABETH - SHARK ROCK PIER",0,"PORT ELIZABETH AWS",0
"17","Hamburg_DEA","EAST LONDON WO",5234,"EAST LONDON AWS",0
"18","Eastern Beach_SAWS","EAST LONDON WO",5327,"EAST LONDON AWS",0
"19","Orient Beach_SAWS","EAST LONDON WO",11416,"EAST LONDON AWS",1091
"20","Nahoon Beach_SAWS","EAST LONDON WO",5327,"EAST LONDON AWS",0
"21","Sodwana_DEA","MBAZWANA AIRFIELD",4362,"MAKATINI RESEARCH CENTRE",5760
