"station","lat","lon","start_date","end_date","length","na_perc_mn","na_perc_mx","mean_mn","mean_mx","sd_mn","sd_mx","min_mn","min_mx","max_mn","max_mx"
"BISHO",-32.8945,27.2868,1986-10-03,2016-06-27,10861,7.1,7.2,12.141,22.996,3.979,5.463,0.9,7.3,28.3,42.2
"CAPE POINT",-34.3532,18.4894,1917-12-01,2016-06-26,36003,4.6,2.4,13.059,18.581,2.645,3.643,-3.9,6.7,27,39.3
"CAPE TOWN D.F.MALAN - WK",-33.9711527287266,18.6,1945-01-01,1992-09-30,17440,14.7,14.7,11.133,21.825,4.388,4.722,-2.8,9.4,22.7,40.7
"CAPE TOWN - ROYAL YACHT CLUB",-33.9206,18.443,2001-10-03,2016-06-26,5381,13.9,14,14.737,23.311,2.978,5.076,4.3,12.4,24.5,42.4
"CAPE TOWN SLANGKOP",-34.1482,18.3192,1996-05-01,2016-06-26,7362,3.8,3.7,13.073,19.824,2.295,3.729,4,10.5,21.5,35.6
"CAPE TOWN WO",-33.9631,18.6023,1992-10-01,2016-06-26,8670,0.1,0.1,12.018,22.504,4.232,4.916,-0.1,9.6,22.2,42.3
"CT-AWS",-33.9789,18.6,2001-04-01,2016-06-26,5566,2,1.9,12.424,22.501,4.242,4.805,-0.8,10.6,22.5,42.4
"DOHNE - AGR",-32.5251432645034,27.4636385939036,1960-01-01,2016-06-27,20633,2.4,2.1,10.907,22.204,4.227,5.692,-4.2,4.4,25.3,42.2
"EAST LONDON AWS",-33.0369,27.8325,2011-06-13,2012-03-19,281,0.7,0.7,14.254,23.852,4.347,3.92,4.4,13,23.2,37.9
"EAST LONDON - WK",-33.033,27.833,1940-01-01,1992-04-30,19114,0.6,0.6,14.373,22.912,3.735,3.793,0,9,26.5,42.6
"EAST LONDON WO",-33.0351685665722,27.8194263796034,1992-05-01,2016-06-27,8824,0.7,0.7,14.457,23.42,3.749,3.823,3.1,10.7,23.2,43.1
"EAST LONDON WO AWS",-33.0225,27.8199,2013-01-03,2016-06-27,1272,5.3,5.3,13.907,23.437,4.35,4.261,0,9.2,23.1,40.9
"GEORGE AWS",-34.0019,22.3833,2009-11-07,2013-09-29,1423,1.5,1.5,11.843,21.543,4.074,4.353,1.6,7.7,22.9,39.2
"GEORGE CLIMATE AWS",-34.008,22.3817,2013-09-30,2016-06-27,1002,0,0,12.045,22.516,3.839,4.365,2.1,12.5,21.5,38.4
