"facet","lag","quantile","direction","SACTN","SAWS","cooccurrence","proportion"
"Eastern Beach - East London",2,0,"b",25,25,1,0.04
"Eastern Beach - East London",2,0,"x",25,25,2,0.08
"Eastern Beach - East London",2,0,"a",25,25,1,0.04
"Eastern Beach - East London",2,0.25,"b",19,19,1,0.0526315789473684
"Eastern Beach - East London",2,0.25,"x",19,19,2,0.105263157894737
"Eastern Beach - East London",2,0.25,"a",19,19,1,0.0526315789473684
"Eastern Beach - East London",2,0.5,"b",13,13,0,0
"Eastern Beach - East London",2,0.5,"x",13,13,0,0
"Eastern Beach - East London",2,0.5,"a",13,13,0,0
"Eastern Beach - East London",2,0.75,"b",7,7,0,0
"Eastern Beach - East London",2,0.75,"x",7,7,0,0
"Eastern Beach - East London",2,0.75,"a",7,7,0,0
"Eastern Beach - East London",2,1,"b",1,1,0,0
"Eastern Beach - East London",2,1,"x",1,1,0,0
"Eastern Beach - East London",2,1,"a",1,1,0,0
"Eastern Beach - East London",6,0,"b",25,25,1,0.04
"Eastern Beach - East London",6,0,"x",25,25,2,0.08
"Eastern Beach - East London",6,0,"a",25,25,1,0.04
"Eastern Beach - East London",6,0.25,"b",19,19,1,0.0526315789473684
"Eastern Beach - East London",6,0.25,"x",19,19,2,0.105263157894737
"Eastern Beach - East London",6,0.25,"a",19,19,1,0.0526315789473684
"Eastern Beach - East London",6,0.5,"b",13,13,0,0
"Eastern Beach - East London",6,0.5,"x",13,13,0,0
"Eastern Beach - East London",6,0.5,"a",13,13,0,0
"Eastern Beach - East London",6,0.75,"b",7,7,0,0
"Eastern Beach - East London",6,0.75,"x",7,7,0,0
"Eastern Beach - East London",6,0.75,"a",7,7,0,0
"Eastern Beach - East London",6,1,"b",1,1,0,0
"Eastern Beach - East London",6,1,"x",1,1,0,0
"Eastern Beach - East London",6,1,"a",1,1,0,0
"Eastern Beach - East London",10,0,"b",25,25,1,0.04
"Eastern Beach - East London",10,0,"x",25,25,2,0.08
"Eastern Beach - East London",10,0,"a",25,25,1,0.04
"Eastern Beach - East London",10,0.25,"b",19,19,1,0.0526315789473684
"Eastern Beach - East London",10,0.25,"x",19,19,2,0.105263157894737
"Eastern Beach - East London",10,0.25,"a",19,19,1,0.0526315789473684
"Eastern Beach - East London",10,0.5,"b",13,13,0,0
"Eastern Beach - East London",10,0.5,"x",13,13,0,0
"Eastern Beach - East London",10,0.5,"a",13,13,0,0
"Eastern Beach - East London",10,0.75,"b",7,7,0,0
"Eastern Beach - East London",10,0.75,"x",7,7,0,0
"Eastern Beach - East London",10,0.75,"a",7,7,0,0
"Eastern Beach - East London",10,1,"b",1,1,0,0
"Eastern Beach - East London",10,1,"x",1,1,0,0
"Eastern Beach - East London",10,1,"a",1,1,0,0
"Eastern Beach - East London",14,0,"b",25,25,2,0.08
"Eastern Beach - East London",14,0,"x",25,25,4,0.16
"Eastern Beach - East London",14,0,"a",25,25,2,0.08
"Eastern Beach - East London",14,0.25,"b",19,19,2,0.105263157894737
"Eastern Beach - East London",14,0.25,"x",19,19,3,0.157894736842105
"Eastern Beach - East London",14,0.25,"a",19,19,1,0.0526315789473684
"Eastern Beach - East London",14,0.5,"b",13,13,1,0.0769230769230769
"Eastern Beach - East London",14,0.5,"x",13,13,1,0.0769230769230769
"Eastern Beach - East London",14,0.5,"a",13,13,0,0
"Eastern Beach - East London",14,0.75,"b",7,7,0,0
"Eastern Beach - East London",14,0.75,"x",7,7,0,0
"Eastern Beach - East London",14,0.75,"a",7,7,0,0
"Eastern Beach - East London",14,1,"b",1,1,0,0
"Eastern Beach - East London",14,1,"x",1,1,0,0
"Eastern Beach - East London",14,1,"a",1,1,0,0
"Fish Hoek - Cape Town DF Malan",2,0,"b",25,70,0,0
"Fish Hoek - Cape Town DF Malan",2,0,"x",25,70,0,0
"Fish Hoek - Cape Town DF Malan",2,0,"a",25,70,0,0
"Fish Hoek - Cape Town DF Malan",2,0.25,"b",19,52,0,0
"Fish Hoek - Cape Town DF Malan",2,0.25,"x",19,52,0,0
"Fish Hoek - Cape Town DF Malan",2,0.25,"a",19,52,0,0
"Fish Hoek - Cape Town DF Malan",2,0.5,"b",13,35,0,0
"Fish Hoek - Cape Town DF Malan",2,0.5,"x",13,35,0,0
"Fish Hoek - Cape Town DF Malan",2,0.5,"a",13,35,0,0
"Fish Hoek - Cape Town DF Malan",2,0.75,"b",7,18,0,0
"Fish Hoek - Cape Town DF Malan",2,0.75,"x",7,18,0,0
"Fish Hoek - Cape Town DF Malan",2,0.75,"a",7,18,0,0
"Fish Hoek - Cape Town DF Malan",2,1,"b",1,1,0,0
