"facet","lag","quantile","direction","SACTN","SAWS","cooccurrence","proportion"
"Eastern Beach - East London",2,0,"b",18,25,0,0
"Eastern Beach - East London",2,0,"x",18,25,0,0
"Eastern Beach - East London",2,0,"a",18,25,0,0
"Eastern Beach - East London",2,0.25,"b",13,19,0,0
"Eastern Beach - East London",2,0.25,"x",13,19,0,0
"Eastern Beach - East London",2,0.25,"a",13,19,0,0
"Eastern Beach - East London",2,0.5,"b",9,13,0,0
"Eastern Beach - East London",2,0.5,"x",9,13,0,0
"Eastern Beach - East London",2,0.5,"a",9,13,0,0
"Eastern Beach - East London",2,0.75,"b",5,7,0,0
"Eastern Beach - East London",2,0.75,"x",5,7,0,0
"Eastern Beach - East London",2,0.75,"a",5,7,0,0
"Eastern Beach - East London",2,1,"b",1,1,0,0
"Eastern Beach - East London",2,1,"x",1,1,0,0
"Eastern Beach - East London",2,1,"a",1,1,0,0
"Eastern Beach - East London",6,0,"b",18,25,1,0.0555555555555556
"Eastern Beach - East London",6,0,"x",18,25,3,0.166666666666667
"Eastern Beach - East London",6,0,"a",18,25,2,0.111111111111111
"Eastern Beach - East London",6,0.25,"b",13,19,1,0.0769230769230769
"Eastern Beach - East London",6,0.25,"x",13,19,2,0.153846153846154
"Eastern Beach - East London",6,0.25,"a",13,19,1,0.0769230769230769
"Eastern Beach - East London",6,0.5,"b",9,13,0,0
"Eastern Beach - East London",6,0.5,"x",9,13,1,0.111111111111111
"Eastern Beach - East London",6,0.5,"a",9,13,1,0.111111111111111
"Eastern Beach - East London",6,0.75,"b",5,7,0,0
"Eastern Beach - East London",6,0.75,"x",5,7,0,0
"Eastern Beach - East London",6,0.75,"a",5,7,0,0
"Eastern Beach - East London",6,1,"b",1,1,0,0
"Eastern Beach - East London",6,1,"x",1,1,0,0
"Eastern Beach - East London",6,1,"a",1,1,0,0
"Eastern Beach - East London",10,0,"b",18,25,1,0.0555555555555556
"Eastern Beach - East London",10,0,"x",18,25,3,0.166666666666667
"Eastern Beach - East London",10,0,"a",18,25,2,0.111111111111111
"Eastern Beach - East London",10,0.25,"b",13,19,1,0.0769230769230769
"Eastern Beach - East London",10,0.25,"x",13,19,2,0.153846153846154
"Eastern Beach - East London",10,0.25,"a",13,19,1,0.0769230769230769
"Eastern Beach - East London",10,0.5,"b",9,13,0,0
"Eastern Beach - East London",10,0.5,"x",9,13,1,0.111111111111111
"Eastern Beach - East London",10,0.5,"a",9,13,1,0.111111111111111
"Eastern Beach - East London",10,0.75,"b",5,7,0,0
"Eastern Beach - East London",10,0.75,"x",5,7,0,0
"Eastern Beach - East London",10,0.75,"a",5,7,0,0
"Eastern Beach - East London",10,1,"b",1,1,0,0
"Eastern Beach - East London",10,1,"x",1,1,0,0
"Eastern Beach - East London",10,1,"a",1,1,0,0
"Eastern Beach - East London",14,0,"b",18,25,1,0.0555555555555556
"Eastern Beach - East London",14,0,"x",18,25,3,0.166666666666667
"Eastern Beach - East London",14,0,"a",18,25,2,0.111111111111111
"Eastern Beach - East London",14,0.25,"b",13,19,1,0.0769230769230769
"Eastern Beach - East London",14,0.25,"x",13,19,2,0.153846153846154
"Eastern Beach - East London",14,0.25,"a",13,19,1,0.0769230769230769
"Eastern Beach - East London",14,0.5,"b",9,13,0,0
