"","node","count","summer","autumn","winter","spring","west","south","east","duration_min","duration_mean","duration_max","int_cum_min","int_cum_mean","int_cum_max","int_max_min","int_max_mean","int_max_max"
"1",1,16,2,4,3,7,7,8,1,15,22.2,43,24.49,57.48,94,1.84,3.62,7.34
"2",2,6,3,0,1,2,2,4,0,16,18.5,21,35.98,63.264,77.96,2.68,4.513,6.94
"3",3,15,0,6,7,2,4,11,0,15,23.7,48,23.77,53.47,117.17,2.1,3.219,6.9
"4",4,14,3,1,6,4,3,10,1,16,43.5,222,32.71,117.093,699.33,1.68,3.915,7.85
"5",5,2,0,1,1,0,1,1,0,19,42,65,70.44,105.586,140.73,4.12,4.23,4.34
"6",6,13,1,0,0,12,0,13,0,15,31.2,47,45.26,88.123,137.08,2.36,4.018,5.18
"7",7,10,2,5,3,0,1,7,2,16,30,98,20.57,77.535,308.2,1.63,3.488,6.13
"8",8,14,0,5,7,2,4,10,0,15,20.2,27,23.73,45.989,88.4,1.86,3.274,7.66
"9",9,8,1,6,0,1,1,7,0,15,17.5,21,28.74,56.854,92.14,2.77,4.394,7.37
"10",NA,98,12,28,28,30,23,71,4,15,27,222,20.57,71.137,699.33,1.63,3.721,7.85
