"station","lat","lon","start_date","end_date","length","na_perc_mn","na_perc_mx","mean_mn","mean_mx","sd_mn","sd_mx","min_mn","min_mx","max_mn","max_mx"
"BISHO",-32.8945,27.2868,1986-10-03,2016-06-27,10861,7.1,7.2,12.141,22.996,3.979,5.463,0.9,7.3,28.3,42.2
"CAPE POINT",-34.3532,18.4894,1917-12-01,2016-06-26,36003,4.6,2.4,13.059,18.581,2.645,3.643,-3.9,6.7,27,39.3
"CAPE TOWN - ROYAL YACHT CLUB",-33.9682,18.6008,2001-10-03,2016-06-26,5381,13.9,14,14.737,23.311,2.978,5.076,4.3,12.4,24.5,42.4
"CAPE TOWN SLANGKOP",-33.9206,18.443,1996-05-01,2016-06-26,7362,3.8,3.7,13.073,19.824,2.295,3.729,4,10.5,21.5,35.6
"CAPE TOWN WO",-34.1482,18.3192,1945-01-01,2016-06-26,26110,9.9,9.8,11.459,22.075,4.352,4.806,-2.8,9.4,22.7,42.3
"CT-AWS",-33.9789,18.6,2001-04-01,2016-06-26,5566,2,1.9,12.424,22.501,4.242,4.805,-0.8,10.6,22.5,42.4
"DOHNE - AGR",-32.5251,27.4636,1960-01-01,2016-06-27,20633,2.4,2.1,10.907,22.204,4.227,5.692,-4.2,4.4,25.3,42.2
"EAST LONDON AWS",-33.0251,27.8222,2011-06-13,2016-06-27,1842,19.4,19.5,13.972,23.515,4.35,4.201,0,9.2,23.2,40.9
"EAST LONDON WO",-33.0337,27.8287,1940-01-01,2016-06-27,27938,0.7,0.6,14.399,23.072,3.739,3.81,0,9,26.5,43.1
"GEORGE AWS",-34.0044,22.3826,2009-11-07,2016-06-27,2425,0.9,0.9,11.927,21.949,3.978,4.383,1.6,7.7,22.9,39.2
"GEORGE WITFONTEIN",-33.9353,22.4269,2007-01-30,2016-06-27,3437,0.1,0.1,11.238,22.884,3.437,4.706,2.1,8.6,23.7,41
"GRABOUW",-34.1525,19.0298,2015-07-09,2016-06-26,354,0.6,0.3,10.762,23.142,4.39,5.858,-0.9,11,21.4,40.2
"HERMANUS",-34.4325,19.2235,1993-03-01,2016-06-26,8519,2,2.1,13.649,20.742,3.026,3.522,1.3,9,21.8,37.4
"JONKERSHOEK",-33.9646,18.928,1960-01-01,2016-06-26,20632,2.3,1.9,9.836,23.05,4.296,6.117,-1.5,7,28.5,42.7
