"site","station","overlap","overall_years","overall_frequency","overall_duration","overall_intensity","distance"
"Eastern Beach","BISHO",13,4,2.11,2,-0.33,60.7
"Eastern Beach","CAPEPOINT",15,10,0.71,1.3,-0.26,884.71
"Eastern Beach","CAPETOWND.F.MALAN-WK",9,7,0.9,1.37,-0.83,870.37
"Eastern Beach","CAPETOWN-ROYALYACHTCLUB",0,0,0,0,0,884.41
"Eastern Beach","CAPETOWNSLANGKOP",3,1,0.6,0.58,-0.1,897.81
"Eastern Beach","CAPETOWNWO",7,2,0.75,1.05,-0.2,870.09
"Eastern Beach","CT-AWS",0,0,0,0,0,870.43
"Eastern Beach","DOHNE-AGR",0,0,0,0,0,69.63
"Eastern Beach","EASTLONDON-WK",9,7,1.58,1.69,-0.47,8.24
"Eastern Beach","EASTLONDONWO",0,0,0,0,0,9.53
"Eastern Beach","GEORGEAWS",0,0,0,0,0,524.73
"Eastern Beach","GEORGECLIMATEAWS",0,0,0,0,0,525
"Eastern Beach","GEORGEWITFONTEIN",0,0,0,0,0,519.47
"Eastern Beach","HERMANUS",6,2,1.2,1.97,-0.24,819.17
"Eastern Beach","JONKERSHOEK",0,0,0,0,0,840.16
"Eastern Beach","JOUBERTINAAWS",2,0,3,2.22,-0.56,387.46
"Eastern Beach","JOUBERTINASCHOOLAWS",0,0,0,0,0,387.19
"Eastern Beach","KIRSTENBOSCH",15,10,0.76,1.2,-0.34,885.86
"Eastern Beach","KNYSNA",3,1,1.5,0.95,-0.11,462.78
"Eastern Beach","MAKATINIRESEARCHCENTRE",15,2,4.17,2.96,-1.47,747.25
"Eastern Beach","MBAZWANAAIRFIELD",2,0,3,0.95,-1.33,762.51
"Eastern Beach","MOLTENORESERVOIR",0,0,0,0,0,887.49
"Eastern Beach","MOSSELBAY",0,0,0,0,0,551.51
"Eastern Beach","PAARL",6,1,0.67,1.51,-0.35,834.32
"Eastern Beach","PLETTENBERGBAAI",6,2,1.5,2.19,-0.14,441.97
"Eastern Beach","PORTELIZABETHAWOS",7,1,1.5,2.07,-0.63,239.09
"Eastern Beach","PORTELIZABETHAWS",0,0,0,0,0,239.13
"Eastern Beach","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,235.17
"Eastern Beach","PORTELIZABETH-WK",9,7,0.76,1.19,-0.42,240.28
"Eastern Beach","PORTNOLLOTH",0,0,0,0,0,1131.56
"Eastern Beach","RIVERSDAL",0,0,0,0,0,629.17
"Eastern Beach","SAASTRONOMICALOBSERVATORY",15,7,1.39,1.35,-0.77,881.33
"Eastern Beach","SPRINGBOK-WK",7,0,NA,NA,NA,1022.94
"Eastern Beach","SPRINGBOKWO",6,3,0.5,0.85,-0.15,1023.2
"Eastern Beach","STRAND",3,1,1,0.83,-0.07,849.23
"Eastern Beach","TSITSIKAMMA",6,1,2,1.97,-0.4,389.08
"Eastern Beach","TYGERHOEK",15,3,3.12,3.78,-0.82,752.97
"Eastern Beach","UITENHAGE",6,0,1.5,3.03,-0.55,243.31
"Eastern Beach","VIOOLSDRIF",6,0,NA,NA,NA,1095.2
"Eastern Beach","VIOOLSDRIF-AWS",0,0,0,0,0,1089.52
"Eastern Beach","WILLOWMORE",15,9,0.86,1.36,-0.47,414.08
"Fish Hoek","BISHO",20,6,2.5,4.36,-0.4,831.47
"Fish Hoek","CAPEPOINT",20,12,0.49,1.91,-0.27,24.14
"Fish Hoek","CAPETOWND.F.MALAN-WK",1,0,NA,NA,NA,23.87
"Fish Hoek","CAPETOWN-ROYALYACHTCLUB",11,3,0.53,1.57,-0.42,24.4
"Fish Hoek","CAPETOWNSLANGKOP",16,9,0.61,1.39,-0.25,11.15
"Fish Hoek","CAPETOWNWO",20,10,0.71,2.14,-0.45,24.71
"Fish Hoek","CT-AWS",11,5,0.42,0.94,-0.33,23.2
"Fish Hoek","DOHNE-AGR",11,3,0.53,1.57,-0.42,857.02
"Fish Hoek","EASTLONDON-WK",1,0,NA,NA,NA,878.42
"Fish Hoek","EASTLONDONWO",11,5,0.42,0.94,-0.33,877.13
"Fish Hoek","GEORGEAWS",3,0,NA,NA,NA,363.51
"Fish Hoek","GEORGECLIMATEAWS",0,0,0,0,0,363.32
"Fish Hoek","GEORGEWITFONTEIN",5,0,NA,NA,NA,368.05
"Fish Hoek","HERMANUS",19,9,0.61,2,-0.48,78.99
"Fish Hoek","JONKERSHOEK",0,0,0,0,0,49
"Fish Hoek","JOUBERTINAAWS",15,6,0.69,1.8,-0.46,500.75
"Fish Hoek","JOUBERTINASCHOOLAWS",0,0,0,0,0,500.97
"Fish Hoek","KIRSTENBOSCH",20,10,0.46,1.87,-0.32,17.41
"Fish Hoek","KNYSNA",16,7,0.45,1.64,-0.25,427.48
"Fish Hoek","MAKATINIRESEARCHCENTRE",20,9,1.19,2.28,-1.01,1509.64
"Fish Hoek","MBAZWANAAIRFIELD",15,4,1.38,2.64,-0.85,1539.63
"Fish Hoek","MOLTENORESERVOIR",11,5,0.35,0.91,-0.16,22.65
"Fish Hoek","MOSSELBAY",4,0,NA,NA,NA,339.69
"Fish Hoek","PAARL",19,10,0.61,1.8,-0.48,67.6
"Fish Hoek","PLETTENBERGBAAI",19,6,0.91,2.75,-0.3,449.79
"Fish Hoek","PORTELIZABETHAWOS",20,9,1.32,2.4,-0.61,661.15
"Fish Hoek","PORTELIZABETHAWS",3,0,NA,NA,NA,660.93
"Fish Hoek","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,665.19
"Fish Hoek","PORTELIZABETH-WK",1,1,5,6.35,-0.17,659.66
"Fish Hoek","PORTNOLLOTH",3,0,NA,NA,NA,563.73
"Fish Hoek","RIVERSDAL",0,0,0,0,0,258.8
"Fish Hoek","SAASTRONOMICALOBSERVATORY",20,11,0.5,1.6,-0.36,23.21
"Fish Hoek","SPRINGBOK-WK",2,0,NA,NA,NA,500.14
"Fish Hoek","SPRINGBOKWO",19,11,0.69,1.57,-0.24,499.92
"Fish Hoek","STRAND",16,7,0.64,1.49,-0.35,37.62
