"site","station","overlap","overall_years","overall_frequency","overall_duration","overall_intensity","distance"
"Eastern Beach","BISHO",13,6,1.33,2.5,0.41,60.7
"Eastern Beach","CAPEPOINT",15,10,0.51,1.67,0.32,884.71
"Eastern Beach","CAPETOWND.F.MALAN-WK",9,6,0.62,1.64,0.87,870.37
"Eastern Beach","CAPETOWN-ROYALYACHTCLUB",0,0,0,0,0,884.41
"Eastern Beach","CAPETOWNSLANGKOP",3,2,0.4,1.22,0.36,897.81
"Eastern Beach","CAPETOWNWO",7,3,0.75,1.85,0.42,870.09
"Eastern Beach","CT-AWS",0,0,0,0,0,870.43
"Eastern Beach","DOHNE-AGR",0,0,0,0,0,69.63
"Eastern Beach","EASTLONDON-WK",9,6,1.08,2.02,0.49,8.24
"Eastern Beach","EASTLONDONWO",0,0,0,0,0,9.53
"Eastern Beach","GEORGEAWS",0,0,0,0,0,524.73
"Eastern Beach","GEORGECLIMATEAWS",0,0,0,0,0,525
"Eastern Beach","GEORGEWITFONTEIN",0,0,0,0,0,519.47
"Eastern Beach","HERMANUS",6,1,1,2.85,0.43,819.17
"Eastern Beach","JONKERSHOEK",0,0,0,0,0,840.16
"Eastern Beach","JOUBERTINAAWS",2,0,1,3,0.88,387.46
"Eastern Beach","JOUBERTINASCHOOLAWS",0,0,0,0,0,387.19
"Eastern Beach","KIRSTENBOSCH",15,9,0.55,1.54,0.42,885.86
"Eastern Beach","KNYSNA",3,1,1,2,0.39,462.78
"Eastern Beach","MAKATINIRESEARCHCENTRE",15,3,3,3.8,1.81,747.25
"Eastern Beach","MBAZWANAAIRFIELD",2,0,1,1.29,2.07,762.51
"Eastern Beach","MOLTENORESERVOIR",0,0,0,0,0,887.49
"Eastern Beach","MOSSELBAY",0,0,0,0,0,551.51
"Eastern Beach","PAARL",6,3,0.56,2.19,0.62,834.32
"Eastern Beach","PLETTENBERGBAAI",6,2,1.25,3.17,0.25,441.97
"Eastern Beach","PORTELIZABETHAWOS",7,1,1.5,3.63,1.32,239.09
"Eastern Beach","PORTELIZABETHAWS",0,0,0,0,0,239.13
"Eastern Beach","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,235.17
"Eastern Beach","PORTELIZABETH-WK",9,7,0.52,1.43,0.44,240.28
"Eastern Beach","PORTNOLLOTH",0,0,0,0,0,1131.56
"Eastern Beach","RIVERSDAL",0,0,0,0,0,629.17
"Eastern Beach","SAASTRONOMICALOBSERVATORY",15,7,1,1.73,0.95,881.33
"Eastern Beach","SPRINGBOK-WK",7,0,NA,NA,NA,1022.94
"Eastern Beach","SPRINGBOKWO",6,4,0.42,1.23,0.27,1023.2
"Eastern Beach","STRAND",3,1,0.67,1.75,0.24,849.23
"Eastern Beach","TSITSIKAMMA",6,1,1.67,2.85,0.72,389.08
"Eastern Beach","TYGERHOEK",15,5,2.25,4.85,1.01,752.97
"Eastern Beach","UITENHAGE",6,2,1.25,4.38,0.97,243.31
"Eastern Beach","VIOOLSDRIF",6,0,NA,NA,NA,1095.2
"Eastern Beach","VIOOLSDRIF-AWS",0,0,0,0,0,1089.52
"Eastern Beach","WILLOWMORE",15,10,0.62,1.74,0.58,414.08
"Fish Hoek","BISHO",20,5,4.1,4.3,0.38,831.47
"Fish Hoek","CAPEPOINT",20,14,0.8,1.88,0.26,24.14
"Fish Hoek","CAPETOWND.F.MALAN-WK",1,0,NA,NA,NA,23.87
"Fish Hoek","CAPETOWN-ROYALYACHTCLUB",11,7,2,4.02,0.68,24.4
"Fish Hoek","CAPETOWNSLANGKOP",16,11,1.61,2.19,0.3,11.15
"Fish Hoek","CAPETOWNWO",20,12,1.17,2.12,0.44,24.71
"Fish Hoek","CT-AWS",11,8,1.58,2.41,0.54,23.2
"Fish Hoek","DOHNE-AGR",11,7,2,4.02,0.68,857.02
"Fish Hoek","EASTLONDON-WK",1,0,NA,NA,NA,878.42
"Fish Hoek","EASTLONDONWO",11,8,1.58,2.41,0.54,877.13
"Fish Hoek","GEORGEAWS",3,0,NA,NA,NA,363.51
"Fish Hoek","GEORGECLIMATEAWS",0,0,0,0,0,363.32
"Fish Hoek","GEORGEWITFONTEIN",5,0,NA,NA,NA,368.05
"Fish Hoek","HERMANUS",19,13,1.24,2.48,0.49,78.99
"Fish Hoek","JONKERSHOEK",0,0,0,0,0,49
"Fish Hoek","JOUBERTINAAWS",15,9,2.31,3.28,0.62,500.75
"Fish Hoek","JOUBERTINASCHOOLAWS",0,0,0,0,0,500.97
"Fish Hoek","KIRSTENBOSCH",20,14,0.76,1.84,0.3,17.41
"Fish Hoek","KNYSNA",16,12,1.19,2.59,0.31,427.48
"Fish Hoek","MAKATINIRESEARCHCENTRE",20,10,1.95,2.25,0.97,1509.64
"Fish Hoek","MBAZWANAAIRFIELD",15,5,4.62,4.83,1.14,1539.63
"Fish Hoek","MOLTENORESERVOIR",11,8,1.3,2.34,0.26,22.65
"Fish Hoek","MOSSELBAY",4,0,NA,NA,NA,339.69
"Fish Hoek","PAARL",19,11,1.24,2.23,0.49,67.6
"Fish Hoek","PLETTENBERGBAAI",19,9,1.86,3.41,0.31,449.79
"Fish Hoek","PORTELIZABETHAWOS",20,11,2.16,2.37,0.59,661.15
"Fish Hoek","PORTELIZABETHAWS",3,0,NA,NA,NA,660.93
"Fish Hoek","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,665.19
"Fish Hoek","PORTELIZABETH-WK",1,0,0,0,0,659.66
"Fish Hoek","PORTNOLLOTH",3,0,NA,NA,NA,563.73
"Fish Hoek","RIVERSDAL",0,0,0,0,0,258.8
"Fish Hoek","SAASTRONOMICALOBSERVATORY",20,13,0.82,1.58,0.34,23.21
"Fish Hoek","SPRINGBOK-WK",2,0,NA,NA,NA,500.14
"Fish Hoek","SPRINGBOKWO",19,12,1.41,1.95,0.24,499.92
"Fish Hoek","STRAND",16,11,1.68,2.35,0.42,37.62
"Fish Hoek","TSITSIKAMMA",19,11,1.32,3.01,0.45,502.83
"Fish Hoek","TYGERHOEK",20,10,1.41,2.28,0.49,134.65
"Fish Hoek","UITENHAGE",19,7,1.95,3.76,0.5,647.01
"Fish Hoek","VIOOLSDRIF",10,0,NA,NA,NA,610.12
"Fish Hoek","VIOOLSDRIF-AWS",10,5,2.73,4.1,0.77,602.18
"Fish Hoek","WILLOWMORE",20,12,1.37,2.2,0.51,475.69
"Gordons Bay","BISHO",26,8,3.4,3.58,0.35,793.45
"Gordons Bay","CAPEPOINT",40,20,0.63,1.38,0.21,40.27
"Gordons Bay","CAPETOWND.F.MALAN-WK",21,8,0.35,0.79,0.32,31.85
"Gordons Bay","CAPETOWN-ROYALYACHTCLUB",11,7,2.4,4.57,0.86,46.74
"Gordons Bay","CAPETOWNSLANGKOP",16,11,1.7,2.27,0.32,49.78
"Gordons Bay","CAPETOWNWO",20,12,1.23,2.25,0.46,32.29
"Gordons Bay","CT-AWS",11,10,1.89,2.74,0.68,31.29
"Gordons Bay","DOHNE-AGR",11,7,2.4,4.57,0.86,819.34
"Gordons Bay","EASTLONDON-WK",21,6,0.81,1.48,0.27,840.19
"Gordons Bay","EASTLONDONWO",11,10,1.89,2.74,0.68,838.9
"Gordons Bay","GEORGEAWS",3,0,NA,NA,NA,324.94
"Gordons Bay","GEORGECLIMATEAWS",0,0,0,0,0,324.75
"Gordons Bay","GEORGEWITFONTEIN",5,0,NA,NA,NA,329.56
"Gordons Bay","HERMANUS",19,12,1.21,2.46,0.47,45.09
"Gordons Bay","JONKERSHOEK",0,0,0,0,0,22.61
"Gordons Bay","JOUBERTINAAWS",15,10,2.44,3.4,0.66,462.25
"Gordons Bay","JOUBERTINASCHOOLAWS",0,0,0,0,0,462.48
"Gordons Bay","KIRSTENBOSCH",40,21,0.59,1.33,0.25,43.99
"Gordons Bay","KNYSNA",16,11,1.26,2.68,0.32,388.85
"Gordons Bay","MAKATINIRESEARCHCENTRE",31,13,2,2.36,0.96,1476.06
"Gordons Bay","MBAZWANAAIRFIELD",15,5,4.88,4.99,1.2,1505.67
"Gordons Bay","MOLTENORESERVOIR",11,10,1.57,2.66,0.33,48.2
"Gordons Bay","MOSSELBAY",4,0,NA,NA,NA,300.99
"Gordons Bay","PAARL",19,11,1.21,2.21,0.47,49.8
"Gordons Bay","PLETTENBERGBAAI",19,8,1.82,3.39,0.29,411.12
"Gordons Bay","PORTELIZABETHAWOS",20,12,2.26,2.52,0.62,622.49
"Gordons Bay","PORTELIZABETHAWS",3,0,NA,NA,NA,622.27
"Gordons Bay","PORTELIZABETH-SHARKROCKPIER",0,0,0,0,0,626.53
"Gordons Bay","PORTELIZABETH-WK",21,8,0.41,0.96,0.32,621
