"station","lon","lat","start_date","end_date","length","na_perc","mean","sd","min","max"
"Port Nolloth_SAWS",16.86710358,-29.25240668,1973-07-23,2015-12-31,15502,6.2,12.412,1.354,9.2,21
"Sea Point_SAWS",18.382165,-33.918469,1974-01-01,2015-04-02,15067,6.2,13.069,1.564,8.4,23
"Hout Bay_DEA",18.349713,-34.050165,1991-03-26,2008-04-22,6238,4.9,11.184,1.821,7.456,16.719
"Kommetjie_SAWS",18.32674026,-34.13667297,1992-03-01,2015-04-02,8433,7,13.306,1.694,9,20.4
"Fish Hoek_SAWS",18.4359169,-34.13525212,1992-03-01,2015-04-02,8433,6,15.477,2.374,9,23
"Muizenberg_SAWS",18.48363876,-34.10398726,1973-05-05,2015-04-02,15308,4,15.935,2.958,9,25
"Gordons Bay_SAWS",18.859076,-34.163417,1972-09-13,2015-04-02,15542,4.7,16.566,2.398,10,25.5
"Hermanus_SAWS",19.25493,-34.414594,1989-12-01,2015-04-02,9254,4.8,15.652,1.501,9,23.5
"Ystervarkpunt_DEA",21.73972222,-34.40277778,1995-10-24,2007-06-20,4258,0,17.565,2.583,10.114,23.63
"Mossel Bay_DEA",22.155,-34.1833333333,1991-06-27,2007-06-20,5838,8.4,17.975,2.687,10.125,24.646
"Knysna_DEA",23.05532455,-34.0856493,1995-03-22,2009-11-05,5343,6.3,17.323,2.602,10.717,24.241
"Tsitsikamma_DEA",23.64566803,-33.98066281,1991-06-30,2009-11-09,6708,4,16.826,2.547,8.763,23.433
"Tsitsikamma_SAWS",23.899327,-34.024482,1990-07-01,2007-02-15,6074,7.7,17.199,2.564,9.5,29.3
"Storms River Mouth_SAWS",23.9105555556,-34.0269444444,1993-04-01,2008-12-31,5754,4,16.822,2.492,9.4,24.4
"Pollock Beach_SAWS",25.677885,-33.99125,1999-05-13,2015-04-02,5804,2.9,18.151,2.124,10.8,26.5
"Humewood_SAWS",25.64723969,-33.97361638,1973-08-25,1999-12-31,9625,3.1,17.984,2.321,11,25
"Hamburg_DEA",27.48888889,-33.28611111,1995-10-31,2010-02-26,5233,6.4,17.483,1.805,12.139,24.08
"Eastern Beach_SAWS",27.921824,-33.017976,1984-01-01,1998-07-31,5326,9.8,17.905,1.773,12.5,25
"Orient Beach_SAWS",27.91625977,-33.02406514,1984-01-01,2015-04-02,11415,3.9,17.961,1.58,12,26
"Nahoon Beach_SAWS",27.950362,-32.993159,1984-01-01,1998-07-31,5326,7,18.133,1.654,10,25
"Sodwana_DEA",32.6036,-27.87365,1994-03-12,2010-01-26,5800,7,24.416,1.963,18.615,29.053
