"station","lat","lon"
"BISHO",-32.8945,27.2868
"CAPE POINT",-34.3532,18.4894
"CAPE TOWN WO",-33.9682,18.6008
"CAPE TOWN - ROYAL YACHT CLUB",-33.9206,18.443
"CAPE TOWN SLANGKOP",-34.1482,18.3192
"CT-AWS",-33.9789,18.6
"DOHNE - AGR",-32.5251,27.4636
"EAST LONDON AWS",-33.0251,27.8222
"EAST LONDON WO",-33.0337,27.8287
"GEORGE AWS",-34.0044,22.3826
"GEORGE WITFONTEIN",-33.9353,22.4269
"GRABOUW",-34.1525,19.0298
"HERMANUS",-34.4325,19.2235
"JONKERSHOEK",-33.9646,18.928
"JOUBERTINA AWS",-33.8278,23.8589
"KIRSTENBOSCH",-33.9835,18.4326
"KNYSNA",-34.049,23.0815
"MAKATINI RESEARCH CENTRE",-27.3941,32.1769
"MBAZWANA AIRFIELD",-27.4775,32.5983
"MOLTENO RESERVOIR",-33.9377,18.4109
"MOSSEL BAY",-34.1894,22.1318
"PAARL",-33.7219,18.972
"PLETTENBERGBAAI",-34.0896,23.3259
"PORT ELIZABETH AWOS",-33.984,25.6049
"PORT ELIZABETH AWS",-33.9827,25.6138
"PORT ELIZABETH - CHATTY AWS",-33.8524,25.5357
"PORT ELIZABETH - SHARK ROCK PIER",-33.9796,25.6598
"PORT NOLLOTH",-29.2487,16.8685
"RIVERSDAL",-34.0853,21.2505
"S A ASTRONOMICAL OBSERVATORY",-33.9336,18.4775
"SPRINGBOK WO",-29.6689,17.8797
"STRAND",-34.1411,18.8488
"TSITSIKAMMA",-34.0229,23.8986
"TYGERHOEK",-34.1497,19.9031
"UITENHAGE",-33.7141,25.4352
"VIOOLSDRIF",-28.7417,17.614
"WILLOWMORE",-33.3003,23.4839
