"site","lon","lat","height","start_date","end_date","length","na_perc_t","na_perc_mx","na_perc_mn","mean_t","mean_mx","mean_mn","sd_t","sd_mx","sd_mn","min_t","min_mx","min_mn","max_t","max_mx","max_mn"
"Cape Columbine",17.85,-32.83,63,1937-01-02,2015-12-31,28853,1.3,1,0.9,15.243,18.17,12.332,2.574,3.56,2.201,7.8,9.5,2.5,31,39.8,26.2
"Cape Point",18.5,-34.35,227,1931-01-01,2015-12-31,31046,5.7,2.6,5.1,15.667,18.611,12.769,3.002,3.76,2.681,5.8,8.2,1,30,39.3,24.2
"Cape Town DF Malan",18.6,-33.98,46,1939-01-01,2015-12-31,28124,1.1,1,1,16.53,21.939,11.135,3.971,4.767,4.308,5.8,9.4,-2.7,29.9,42.3,22.4
"Jonkershoek",18.93,-33.97,350,1935-09-11,2015-12-31,29332,2.8,1.7,2.4,16.352,22.687,10.039,4.703,6.323,4.232,4.7,6.4,-0.7,32,42.7,25
"Cape Agulhas",20.02,-34.83,8,1931-01-01,2015-12-31,31046,3.5,2.4,1.8,17.169,20.208,14.148,3.054,3.202,3.238,7.2,10,0.8,26.8,35.6,22.6
"Cape St Blaize",22.15,-34.18,76,1931-01-01,2015-12-31,31046,2.2,1.9,1.3,17.564,21.78,13.367,3.206,3.512,3.451,7,9.5,2.3,29.8,39.4,22.8
"Cape St Francis",25.05,-33.95,NA,1931-01-01,2015-12-31,31046,2.1,1.3,1.4,16.741,20.207,13.289,2.744,3.125,3.11,7.8,10.8,0.7,28,35.6,22.4
"Port Elizabeth",25.6,-33.98,60,1936-10-12,2015-12-31,28935,0.3,0.3,0.1,16.999,22.237,11.771,3.543,3.928,4.46,5.9,9.5,-4.1,30.2,40.7,23.4
"East London",27.64,-32.95,NA,1940-01-01,2015-12-31,27759,0.9,0.7,0.8,19.051,23.378,14.739,3.318,3.845,3.764,7.4,9.4,2.4,32.6,43.3,26.5
"Mount Edgecombe",31.05,-29.7,91,1931-01-01,2015-12-31,31046,3.4,3.1,3.3,19.558,25.002,14.133,3.284,3.574,3.914,9.4,11.9,1.9,31,42.4,23.7
"Cape St Lucia",32.4,-28.5,107,1931-01-01,2015-12-31,31046,8.3,6.7,6.6,20.803,25.947,15.684,3.723,3.695,4.328,7.4,11.7,0.9,32.6,41.1,25.7
