ID,Site,lon,lat
ID_00214,PORT NOLLOTH,16.8685,-29.25
ID_00041,CAPE TOWN - ROYAL YACHT CLUB,18.443,-33.9206
ID_00039,MOLTENO RESERVOIR,18.4109,-33.9377
ID_00043,S A ASTRONOMICAL OBSERVATORY,18.4775,-33.9336
ID_00040,KIRSTENBOSCH,18.4307,-33.986
ID_00198,CAPE TOWN SLANGKOP,18.3192,-34.1482
ID_00026,CAPE POINT,18.4894,-34.3532
ID_00001,CAPE TOWN WO,18.6023,-33.9631
ID_00044,CT-AWS,18.6,-33.9789
ID_00027,STRAND,18.8488,-34.1411
ID_00029,HERMANUS,19.2246,-34.4324
ID_00199,RIVERSDALE,21.2517,-34.0958
ID_00033,MOSSEL BAY,22.1318,-34.1894
ID_00034,KNYSNA,23.0815,-34.049
ID_00035,PLETTENBERGBAAI,23.3259,-34.0896
ID_00051,JOUBERTINA SCHOOL AWS,23.8606,-33.8247
ID_00036,TSITSIKAMMA,23.8986,-34.0229
ID_00002,PORT ELIZABETH AWS,25.6138,-33.9827
ID_00003,PORT ELIZABETH AWOS,25.6164,-33.9864
ID_00057,PORT ELIZABETH - SHARK ROCK PIER,25.6598,-33.9796
ID_00055,PORT ELIZABETH - FETTES ROAD,25.6023,-33.9425
ID_00061,PORT ALFRED - AIRPORT,26.8809,-33.5595
ID_00077,BISHO,27.2868,-32.8945
ID_00072,EAST LONDON WO AWS,27.8199,-33.0225
ID_00004,EAST LONDON WO,27.8161,-33.0357
ID_00147,MBAZWANA AIRFIELD,32.5983,-27.4775
NA,NA,NA,NA
ID_00119,VIOOLSDRIF - AWS,17.6234,-28.7694
ID_00008,SPRINGBOK WO,17.8788,-29.6694
ID_00045,JONKERSHOEK,18.9224,-33.9679
ID_00046,PAARL,18.972,-33.7219
ID_00028,GRABOUW,19.0298,-34.1525
ID_00030,TYGERHOEK,19.9031,-34.1497
ID_00049,GEORGE CLIMATE AWS,22.3817,-34.008
ID_00050,GEORGE WITFONTEIN,22.4269,-33.9353
ID_00202,WILLOWMORE,23.4839,-33.3003
ID_00053,UITENHAGE,25.4352,-33.7141
ID_00054,PORT ELIZABETH - CHATTY AWS,25.5357,-33.8524
ID_00078,DOHNE - AGR,27.4606,-32.5276
ID_00220,MAKATINI RESEARCH CENTRE,32.1769,-27.3941
